Data,Quant. de Vendas,Forma de Pagamento,Loja,GMV,Estado,Tipo de Vendas
1/1/2020,7,TipoB,Parceiro1,"R$2,361.02",Amapá,Não Promocional
1/1/2020,12,TipoA,Parceiro5,"R$3,061.55",Mato Grosso,Não Promocional
1/1/2020,17,TipoA,Parceiro1,"R$3,034.79",Distrito Federal,Não Promocional
1/1/2020,16,TipoB,Parceiro6,"R$2,908.27",Rondônia,Não Promocional
1/1/2020,11,TipoB,Parceiro6,"R$3,610.73",Tocantins,Não Promocional
1/1/2020,8,TipoB,Parceiro7,"R$2,774.57",Paraíba,Não Promocional
1/1/2020,11,TipoA,Parceiro5,"R$1,110.19",Piauí,Não Promocional
1/1/2020,12,TipoB,Parceiro5,"R$1,751.52",Roraima,Não Promocional
1/1/2020,12,TipoB,Parceiro1,"R$1,035.05",Espírito Santo,Não Promocional
1/1/2020,11,TipoA,Parceiro5,"R$1,276.72",Pernambuco,Não Promocional
1/1/2020,8,TipoB,Parceiro3,"R$3,873.51",Piauí,Não Promocional
1/1/2020,13,TipoB,Parceiro2,"R$2,232.17",Roraima,Não Promocional
1/1/2020,7,TipoB,Parceiro6,"R$2,914.94",Pará,Não Promocional
1/1/2020,15,TipoB,Parceiro7,R$353.11,Alagoas,Não Promocional
1/1/2020,10,TipoB,Parceiro8,R$48.91,Acre,Não Promocional
1/1/2020,12,TipoB,Parceiro9,"R$1,476.14",Bahia,Não Promocional
1/1/2020,12,TipoA,Parceiro2,"R$1,930.59",Mato Grosso do Sul,Não Promocional
1/1/2020,12,TipoB,Parceiro3,"R$1,182.08",Bahia,Não Promocional
1/1/2020,15,TipoB,Parceiro3,R$138.18,Amapá,Não Promocional
1/1/2020,9,TipoB,Parceiro7,"R$1,865.46",Rio de Janeiro,Não Promocional
1/1/2020,14,TipoB,Parceiro10,"R$2,897.06",Alagoas,Não Promocional
1/1/2020,7,TipoB,Parceiro14,R$68.52,Pará,Não Promocional
1/1/2020,12,TipoB,Parceiro6,"R$2,705.12",Rio Grande do Sul,Não Promocional
1/1/2020,16,TipoA,Parceiro15,"R$1,831.20",Bahia,Não Promocional
1/1/2020,13,TipoA,Parceiro11,"R$1,807.98",Distrito Federal,Não Promocional
1/1/2020,12,TipoB,Parceiro8,"R$2,247.01",Amazonas,Não Promocional
1/1/2020,12,TipoB,Parceiro14,R$964.59,Pará,Não Promocional
1/1/2020,10,TipoB,Parceiro14,R$456.69,Pará,Não Promocional
1/1/2020,7,TipoB,Parceiro7,R$257.83,Amazonas,Não Promocional
1/1/2020,9,TipoA,Parceiro3,"R$1,489.35",Espírito Santo,Não Promocional
1/1/2020,17,TipoB,Parceiro14,"R$2,744.83",Alagoas,Não Promocional
1/1/2020,11,TipoB,Parceiro11,"R$3,426.24",Alagoas,Não Promocional
1/1/2020,12,TipoA,Parceiro2,R$696.75,Bahia,Não Promocional
1/1/2020,17,TipoB,Parceiro5,"R$3,596.57",Rio de Janeiro,Não Promocional
1/1/2020,12,TipoA,Parceiro11,"R$2,274.70",Amapá,Não Promocional
1/1/2020,15,TipoA,Parceiro8,"R$1,171.39",Bahia,Não Promocional
1/1/2020,11,TipoB,Parceiro15,"R$1,523.98",Distrito Federal,Não Promocional
1/1/2020,10,TipoB,Parceiro10,"R$3,469.21",São Paulo,Não Promocional
1/1/2020,13,TipoB,Parceiro2,"R$1,630.78",Minas Gerais,Não Promocional
1/1/2020,15,TipoA,Parceiro12,"R$1,022.42",Santa Catarina,Não Promocional
1/1/2020,17,TipoB,Parceiro11,"R$1,068.17",Ceará,Não Promocional
1/1/2020,7,TipoB,Parceiro9,"R$1,046.43",Distrito Federal,Não Promocional
1/1/2020,7,TipoB,Parceiro11,R$256.99,Rio de Janeiro,Não Promocional
1/1/2020,8,TipoB,Parceiro9,"R$3,413.76",Ceará,Não Promocional
1/1/2020,10,TipoA,Parceiro13,"R$2,783.82",Pará,Não Promocional
1/1/2020,9,TipoC,Parceiro9,"R$2,613.88",Acre,Não Promocional
1/1/2020,12,TipoA,Parceiro5,"R$3,452.41",São Paulo,Não Promocional
1/1/2020,15,TipoB,Parceiro6,"R$3,423.64",Bahia,Não Promocional
1/1/2020,7,TipoA,Parceiro9,R$755.96,Acre,Não Promocional
1/1/2020,7,TipoB,Parceiro10,"R$2,491.98",Espírito Santo,Não Promocional
1/1/2020,7,TipoB,Parceiro6,R$866.09,Espírito Santo,Não Promocional
1/1/2020,14,TipoB,Parceiro11,"R$1,816.41",Ceará,Não Promocional
1/1/2020,9,TipoC,Parceiro11,R$300.31,Rio Grande do Sul,Não Promocional
1/1/2020,14,TipoC,Parceiro13,R$63.48,Minas Gerais,Não Promocional
1/1/2020,12,TipoC,Parceiro7,"R$3,486.26",Santa Catarina,Não Promocional
1/1/2020,14,TipoA,Parceiro12,"R$1,004.71",Distrito Federal,Não Promocional
1/1/2020,13,TipoA,Parceiro11,"R$1,524.20",Santa Catarina,Não Promocional
1/1/2020,11,TipoA,Parceiro12,R$732.90,Santa Catarina,Não Promocional
1/1/2020,4,TipoB,Parceiro5,"R$3,638.67",Ceará,Não Promocional
1/1/2020,5,TipoC,Parceiro12,"R$3,328.86",Rio Grande do Sul,Não Promocional
1/1/2020,5,TipoC,Parceiro8,R$410.02,Rio Grande do Norte,Não Promocional
1/1/2020,3,TipoB,Parceiro13,"R$3,799.07",Paraíba,Não Promocional
1/1/2020,5,TipoC,Parceiro8,R$530.45,Goiás,Não Promocional
1/1/2020,5,TipoB,Parceiro13,"R$1,188.99",Rio de Janeiro,Não Promocional
1/1/2020,5,TipoB,Parceiro12,"R$2,680.23",Goiás,Não Promocional
1/1/2020,3,TipoA,Parceiro9,"R$3,882.17",Mato Grosso do Sul,Não Promocional
1/1/2020,6,TipoC,Parceiro4,"R$1,291.79",Pará,Não Promocional
1/1/2020,3,TipoC,Parceiro13,"R$1,372.61",Sergipe,Não Promocional
1/1/2020,3,TipoB,Parceiro14,"R$2,360.85",Bahia,Não Promocional
1/1/2020,5,TipoA,Parceiro11,"R$1,088.10",Sergipe,Não Promocional
1/1/2020,6,TipoC,Parceiro6,"R$2,681.27",Santa Catarina,Não Promocional
1/1/2020,5,TipoA,Parceiro10,"R$3,130.14",Rio Grande do Sul,Não Promocional
1/1/2020,3,TipoB,Parceiro15,"R$2,503.08",Rio Grande do Sul,Não Promocional
1/1/2020,3,TipoB,Parceiro13,"R$2,277.55",Pernambuco,Não Promocional
1/1/2020,3,TipoB,Parceiro15,"R$2,456.64",Piauí,Não Promocional
1/1/2020,3,TipoA,Parceiro5,R$134.62,Minas Gerais,Não Promocional
1/1/2020,4,TipoC,Parceiro4,"R$3,309.65",Minas Gerais,Não Promocional
1/1/2020,5,TipoB,Parceiro10,"R$3,785.63",Mato Grosso do Sul,Não Promocional
1/1/2020,4,TipoA,Parceiro2,"R$3,464.75",Alagoas,Não Promocional
1/1/2020,6,TipoA,Parceiro11,"R$1,963.73",Distrito Federal,Não Promocional
1/1/2020,6,TipoB,Parceiro7,"R$2,326.72",Bahia,Não Promocional
1/1/2020,5,TipoC,Parceiro5,"R$1,486.48",Paraíba,Não Promocional
1/1/2020,5,TipoB,Parceiro10,"R$3,756.85",Mato Grosso,Não Promocional
1/1/2020,6,TipoA,Parceiro10,"R$1,252.50",Tocantins,Não Promocional
1/1/2020,6,TipoC,Parceiro3,R$431.36,Maranhão,Não Promocional
1/1/2020,6,TipoA,Parceiro2,"R$1,464.92",Alagoas,Não Promocional
1/1/2020,4,TipoA,Parceiro1,"R$3,592.16",Acre,Não Promocional
1/1/2020,4,TipoB,Parceiro15,"R$2,040.83",Tocantins,Não Promocional
1/1/2020,4,TipoC,Parceiro7,"R$3,308.02",Tocantins,Não Promocional
1/1/2020,4,TipoA,Parceiro5,"R$1,962.95",Distrito Federal,Não Promocional
1/1/2020,5,TipoB,Parceiro15,R$659.60,Goiás,Não Promocional
1/1/2020,5,TipoB,Parceiro8,"R$2,237.88",Rio de Janeiro,Não Promocional
1/1/2020,6,TipoC,Parceiro10,"R$3,968.49",Maranhão,Não Promocional
1/1/2020,4,TipoB,Parceiro11,"R$2,178.31",Goiás,Não Promocional
1/1/2020,5,TipoB,Parceiro5,R$266.38,Pará,Não Promocional
1/1/2020,5,TipoB,Parceiro15,"R$1,075.06",Rondônia,Não Promocional
1/1/2020,6,TipoB,Parceiro8,"R$3,897.10",Goiás,Não Promocional
1/1/2020,6,TipoB,Parceiro6,"R$3,165.19",Rio Grande do Sul,Não Promocional
1/1/2020,3,TipoB,Parceiro5,"R$1,470.36",Paraná,Não Promocional
1/1/2020,4,TipoA,Parceiro6,"R$1,923.55",Santa Catarina,Não Promocional
1/1/2020,28,TipoB,Parceiro12,"R$3,662.11",Sergipe,Não Promocional
1/1/2020,25,TipoA,Parceiro10,"R$2,984.27",Acre,Não Promocional
1/1/2020,23,TipoC,Parceiro15,R$764.73,São Paulo,Não Promocional
1/1/2020,24,TipoB,Parceiro8,"R$1,147.27",Paraíba,Não Promocional
1/1/2020,22,TipoA,Parceiro14,R$889.03,Rio Grande do Norte,Não Promocional
1/1/2020,14,TipoC,Parceiro2,"R$3,930.82",Rio de Janeiro,Não Promocional
1/1/2020,32,TipoC,Parceiro12,"R$2,968.14",Acre,Não Promocional
1/1/2020,28,TipoB,Parceiro14,"R$1,598.64",São Paulo,Super Promoção
1/1/2020,34,TipoA,Parceiro13,R$361.81,Rio de Janeiro,Super Promoção
1/1/2020,23,TipoA,Parceiro13,"R$1,090.89",Rio de Janeiro,Super Promoção
1/1/2020,25,TipoA,Parceiro7,"R$1,807.32",Minas Gerais,Super Promoção
1/1/2020,32,TipoA,Parceiro6,"R$1,060.40",São Paulo,Super Promoção
1/2/2020,3,TipoA,Parceiro1,"R$3,762.04",Rio de Janeiro,Promocional
1/2/2020,3,TipoB,Parceiro5,R$482.83,Distrito Federal,Promocional
1/2/2020,2,TipoB,Parceiro5,R$285.32,Minas Gerais,Promocional
1/2/2020,1,TipoB,Parceiro7,"R$3,591.13",Minas Gerais,Promocional
1/2/2020,2,TipoB,Parceiro7,"R$2,377.01",São Paulo,Promocional
1/2/2020,4,TipoB,Parceiro6,"R$2,783.29",Distrito Federal,Promocional
1/2/2020,2,TipoB,Parceiro5,"R$1,374.10",Distrito Federal,Promocional
1/2/2020,2,TipoB,Parceiro6,"R$3,256.37",Rio Grande do Sul,Promocional
1/2/2020,5,TipoB,Parceiro3,R$385.98,Minas Gerais,Promocional
1/2/2020,2,TipoB,Parceiro2,"R$2,249.42",Minas Gerais,Promocional
1/2/2020,1,TipoA,Parceiro1,"R$3,897.08",Minas Gerais,Promocional
1/2/2020,5,TipoB,Parceiro4,"R$1,743.12",Rio de Janeiro,Promocional
1/2/2020,2,TipoB,Parceiro2,"R$2,142.79",Minas Gerais,Promocional
1/2/2020,4,TipoA,Parceiro2,"R$1,442.04",Distrito Federal,Promocional
1/2/2020,2,TipoB,Parceiro6,"R$1,595.56",Distrito Federal,Promocional
1/2/2020,4,TipoB,Parceiro6,R$626.57,Rio Grande do Sul,Promocional
1/2/2020,1,TipoA,Parceiro1,"R$1,314.16",Rio Grande do Sul,Promocional
1/2/2020,4,TipoA,Parceiro5,"R$2,318.48",Distrito Federal,Promocional
1/2/2020,3,TipoB,Parceiro1,"R$3,414.13",Minas Gerais,Promocional
1/2/2020,3,TipoA,Parceiro1,"R$3,904.33",Rio Grande do Sul,Promocional
1/2/2020,5,TipoB,Parceiro2,"R$3,632.19",Rio de Janeiro,Promocional
1/2/2020,2,TipoB,Parceiro1,"R$2,612.92",Minas Gerais,Promocional
1/2/2020,5,TipoA,Parceiro5,R$187.97,São Paulo,Promocional
1/2/2020,5,TipoA,Parceiro4,R$999.58,São Paulo,Promocional
1/2/2020,1,TipoB,Parceiro5,"R$3,130.78",Distrito Federal,Promocional
1/2/2020,5,TipoA,Parceiro1,"R$1,802.93",Minas Gerais,Não Promocional
1/2/2020,4,TipoA,Parceiro1,"R$1,911.29",São Paulo,Não Promocional
1/2/2020,5,TipoB,Parceiro7,"R$2,619.53",Distrito Federal,Não Promocional
1/2/2020,1,TipoB,Parceiro6,"R$1,176.48",São Paulo,Não Promocional
1/2/2020,5,TipoB,Parceiro2,"R$2,424.00",Distrito Federal,Não Promocional
1/2/2020,4,TipoB,Parceiro4,"R$2,311.33",Minas Gerais,Não Promocional
1/2/2020,4,TipoA,Parceiro6,"R$1,073.49",Rio de Janeiro,Não Promocional
1/2/2020,5,TipoB,Parceiro5,"R$2,578.09",Distrito Federal,Não Promocional
1/2/2020,2,TipoA,Parceiro1,"R$2,223.27",Rio de Janeiro,Não Promocional
1/2/2020,1,TipoB,Parceiro5,"R$2,942.10",São Paulo,Não Promocional
1/2/2020,1,TipoA,Parceiro5,R$111.26,Minas Gerais,Não Promocional
1/2/2020,1,TipoB,Parceiro6,"R$3,745.00",Rio Grande do Sul,Não Promocional
1/2/2020,4,TipoB,Parceiro4,R$320.25,Rio de Janeiro,Não Promocional
1/2/2020,3,TipoB,Parceiro1,"R$2,704.63",Distrito Federal,Não Promocional
1/2/2020,5,TipoB,Parceiro5,"R$1,773.81",Rio de Janeiro,Não Promocional
1/2/2020,4,TipoA,Parceiro6,"R$3,750.14",Minas Gerais,Não Promocional
1/2/2020,1,TipoA,Parceiro7,"R$2,241.57",Rio de Janeiro,Não Promocional
1/2/2020,3,TipoB,Parceiro2,"R$1,825.25",Distrito Federal,Não Promocional
1/2/2020,15,TipoA,Parceiro7,"R$3,261.66",São Paulo,Não Promocional
1/2/2020,14,TipoA,Parceiro6,R$241.02,Rio Grande do Sul,Não Promocional
1/2/2020,16,TipoA,Parceiro4,"R$3,755.45",Paraná,Não Promocional
1/2/2020,10,TipoB,Parceiro4,"R$1,154.72",Piauí,Não Promocional
1/2/2020,7,TipoB,Parceiro1,"R$2,360.24",Rio Grande do Sul,Não Promocional
1/2/2020,13,TipoA,Parceiro5,"R$3,491.51",Rio de Janeiro,Não Promocional
1/2/2020,15,TipoA,Parceiro3,"R$1,589.15",Distrito Federal,Não Promocional
1/2/2020,13,TipoA,Parceiro4,"R$2,520.83",Santa Catarina,Não Promocional
1/2/2020,9,TipoB,Parceiro15,"R$3,150.48",Espírito Santo,Não Promocional
1/2/2020,15,TipoB,Parceiro5,"R$3,852.39",Rio de Janeiro,Não Promocional
1/2/2020,17,TipoB,Parceiro7,"R$3,658.72",Amapá,Não Promocional
1/2/2020,13,TipoB,Parceiro4,"R$2,637.73",Mato Grosso do Sul,Não Promocional
1/2/2020,13,TipoB,Parceiro6,"R$2,872.64",Alagoas,Não Promocional
1/2/2020,17,TipoB,Parceiro2,"R$1,770.11",Ceará,Não Promocional
1/2/2020,15,TipoB,Parceiro7,R$471.25,Acre,Não Promocional
1/2/2020,13,TipoB,Parceiro9,"R$2,809.89",Acre,Não Promocional
1/2/2020,14,TipoB,Parceiro5,"R$3,771.77",Bahia,Não Promocional
1/2/2020,12,TipoA,Parceiro11,R$475.90,Santa Catarina,Não Promocional
1/2/2020,17,TipoB,Parceiro6,R$355.40,Rio de Janeiro,Não Promocional
1/2/2020,7,TipoA,Parceiro5,"R$3,929.23",Acre,Não Promocional
1/2/2020,10,TipoA,Parceiro2,"R$3,241.06",Santa Catarina,Não Promocional
1/2/2020,17,TipoB,Parceiro11,"R$1,807.52",Pará,Não Promocional
1/2/2020,15,TipoA,Parceiro13,"R$3,515.18",Mato Grosso do Sul,Não Promocional
1/2/2020,7,TipoB,Parceiro7,"R$2,960.40",Pará,Não Promocional
1/2/2020,15,TipoB,Parceiro10,R$676.51,Acre,Não Promocional
1/2/2020,8,TipoA,Parceiro7,"R$1,072.43",Ceará,Não Promocional
1/2/2020,15,TipoB,Parceiro14,"R$1,972.76",Alagoas,Não Promocional
1/2/2020,13,TipoB,Parceiro2,"R$2,243.34",Mato Grosso do Sul,Não Promocional
1/2/2020,8,TipoA,Parceiro5,"R$1,850.85",Amapá,Não Promocional
1/2/2020,13,TipoA,Parceiro10,"R$3,576.33",Minas Gerais,Não Promocional
1/2/2020,10,TipoA,Parceiro15,"R$3,252.37",Amapá,Não Promocional
1/2/2020,8,TipoB,Parceiro1,"R$3,290.76",Amapá,Não Promocional
1/2/2020,17,TipoA,Parceiro6,"R$2,944.81",Amapá,Não Promocional
1/2/2020,11,TipoA,Parceiro3,"R$3,762.90",Santa Catarina,Não Promocional
1/2/2020,13,TipoC,Parceiro12,"R$3,001.94",Amazonas,Não Promocional
1/2/2020,11,TipoA,Parceiro9,R$906.08,São Paulo,Não Promocional
1/2/2020,16,TipoB,Parceiro11,"R$3,584.30",Bahia,Não Promocional
1/2/2020,16,TipoA,Parceiro10,R$939.03,Espírito Santo,Não Promocional
1/2/2020,7,TipoA,Parceiro13,"R$1,298.50",Santa Catarina,Não Promocional
1/2/2020,17,TipoA,Parceiro6,"R$1,224.65",Pará,Não Promocional
1/2/2020,8,TipoA,Parceiro5,R$348.15,Ceará,Não Promocional
1/2/2020,12,TipoC,Parceiro11,R$73.50,Alagoas,Não Promocional
1/2/2020,14,TipoC,Parceiro10,"R$3,074.49",Pará,Não Promocional
1/2/2020,11,TipoB,Parceiro11,"R$3,464.36",Santa Catarina,Não Promocional
1/2/2020,14,TipoC,Parceiro10,"R$3,684.21",Espírito Santo,Não Promocional
1/2/2020,13,TipoA,Parceiro11,R$150.21,Minas Gerais,Não Promocional
1/2/2020,4,TipoB,Parceiro10,"R$3,631.70",Mato Grosso do Sul,Não Promocional
1/2/2020,6,TipoC,Parceiro7,"R$1,513.34",Minas Gerais,Não Promocional
1/2/2020,4,TipoA,Parceiro10,"R$2,081.00",São Paulo,Não Promocional
1/2/2020,6,TipoC,Parceiro13,"R$2,394.90",Pará,Não Promocional
1/2/2020,5,TipoC,Parceiro13,R$598.45,Rio de Janeiro,Não Promocional
1/2/2020,5,TipoA,Parceiro11,"R$2,571.23",Ceará,Não Promocional
1/2/2020,4,TipoA,Parceiro6,"R$2,547.57",Rio Grande do Norte,Não Promocional
1/2/2020,3,TipoB,Parceiro9,"R$3,867.69",Alagoas,Não Promocional
1/2/2020,4,TipoB,Parceiro2,R$659.58,Pará,Não Promocional
1/2/2020,4,TipoB,Parceiro5,R$505.10,Acre,Não Promocional
1/2/2020,6,TipoB,Parceiro8,"R$3,360.09",Rio de Janeiro,Não Promocional
1/2/2020,6,TipoB,Parceiro8,"R$3,762.64",Mato Grosso do Sul,Não Promocional
1/2/2020,4,TipoC,Parceiro15,R$327.82,Acre,Não Promocional
1/2/2020,3,TipoA,Parceiro12,R$914.65,Mato Grosso do Sul,Não Promocional
1/2/2020,5,TipoB,Parceiro4,"R$1,382.11",Alagoas,Não Promocional
1/2/2020,3,TipoC,Parceiro4,"R$2,193.41",Espírito Santo,Não Promocional
1/2/2020,3,TipoC,Parceiro4,"R$1,987.15",Acre,Não Promocional
1/2/2020,4,TipoB,Parceiro10,R$98.90,Mato Grosso do Sul,Não Promocional
1/2/2020,5,TipoC,Parceiro12,"R$2,806.66",Mato Grosso,Não Promocional
1/2/2020,3,TipoC,Parceiro8,"R$2,866.48",Maranhão,Não Promocional
1/2/2020,4,TipoB,Parceiro7,"R$3,887.79",Amazonas,Não Promocional
1/2/2020,6,TipoA,Parceiro4,"R$1,182.87",Mato Grosso,Não Promocional
1/2/2020,6,TipoC,Parceiro15,"R$3,941.44",Amapá,Não Promocional
1/2/2020,5,TipoC,Parceiro12,"R$3,605.02",Acre,Não Promocional
1/2/2020,6,TipoA,Parceiro7,"R$1,471.32",Acre,Não Promocional
1/2/2020,4,TipoB,Parceiro7,"R$3,561.87",São Paulo,Não Promocional
1/2/2020,5,TipoC,Parceiro11,"R$2,020.31",Espírito Santo,Não Promocional
1/2/2020,3,TipoC,Parceiro10,"R$2,005.53",Pernambuco,Não Promocional
1/2/2020,5,TipoC,Parceiro10,R$457.29,Alagoas,Não Promocional
1/2/2020,3,TipoB,Parceiro14,"R$2,022.27",Roraima,Não Promocional
1/2/2020,3,TipoB,Parceiro3,R$72.17,Paraná,Não Promocional
1/2/2020,3,TipoB,Parceiro7,R$719.75,Amazonas,Não Promocional
1/2/2020,24,TipoC,Parceiro3,"R$3,523.43",Alagoas,Não Promocional
1/2/2020,23,TipoA,Parceiro2,R$178.20,Rio de Janeiro,Não Promocional
1/2/2020,24,TipoA,Parceiro14,"R$1,795.48",Rio Grande do Norte,Não Promocional
1/2/2020,28,TipoB,Parceiro12,"R$2,561.85",Espírito Santo,Não Promocional
1/2/2020,28,TipoB,Parceiro5,"R$2,802.38",Rondônia,Não Promocional
1/2/2020,26,TipoC,Parceiro5,"R$3,947.85",Goiás,Não Promocional
1/2/2020,25,TipoB,Parceiro2,R$715.47,Paraná,Não Promocional
1/2/2020,21,TipoC,Parceiro11,"R$3,201.00",Mato Grosso do Sul,Não Promocional
1/2/2020,30,TipoB,Parceiro2,"R$3,829.53",Roraima,Não Promocional
1/2/2020,32,TipoC,Parceiro8,"R$3,992.62",Sergipe,Não Promocional
1/2/2020,14,TipoB,Parceiro6,"R$1,112.49",Acre,Não Promocional
1/2/2020,11,TipoC,Parceiro14,"R$2,960.05",Ceará,Não Promocional
1/2/2020,26,TipoB,Parceiro15,"R$3,948.64",Pernambuco,Não Promocional
1/2/2020,7,TipoC,Parceiro4,"R$3,221.74",Maranhão,Não Promocional
1/2/2020,21,TipoA,Parceiro15,R$982.82,Acre,Super Promoção
1/2/2020,15,TipoA,Parceiro6,"R$2,472.46",Rio Grande do Sul,Super Promoção
1/2/2020,19,TipoB,Parceiro15,"R$1,883.40",Minas Gerais,Super Promoção
1/2/2020,11,TipoB,Parceiro2,R$21.20,Rio de Janeiro,Super Promoção
1/2/2020,27,TipoB,Parceiro1,R$407.03,Minas Gerais,Super Promoção
1/2/2020,28,TipoB,Parceiro7,R$847.77,Rio de Janeiro,Super Promoção
1/3/2020,4,TipoB,Parceiro4,R$154.73,Distrito Federal,Promocional
1/3/2020,1,TipoB,Parceiro3,R$728.08,Distrito Federal,Promocional
1/3/2020,2,TipoA,Parceiro4,R$276.78,Rio de Janeiro,Promocional
1/3/2020,5,TipoB,Parceiro7,"R$1,586.84",Distrito Federal,Promocional
1/3/2020,4,TipoB,Parceiro7,"R$2,068.84",Minas Gerais,Promocional
1/3/2020,4,TipoA,Parceiro3,"R$2,498.33",Distrito Federal,Promocional
1/3/2020,1,TipoA,Parceiro7,"R$2,032.55",Minas Gerais,Promocional
1/3/2020,1,TipoA,Parceiro2,R$345.16,Minas Gerais,Promocional
1/3/2020,5,TipoA,Parceiro7,R$333.27,São Paulo,Promocional
1/3/2020,5,TipoA,Parceiro3,R$478.54,Minas Gerais,Promocional
1/3/2020,3,TipoB,Parceiro1,"R$2,407.45",Distrito Federal,Promocional
1/3/2020,2,TipoA,Parceiro5,"R$3,023.41",Rio de Janeiro,Promocional
1/3/2020,5,TipoA,Parceiro3,"R$3,990.32",Minas Gerais,Promocional
1/3/2020,5,TipoA,Parceiro2,"R$1,380.29",Distrito Federal,Promocional
1/3/2020,4,TipoA,Parceiro7,"R$3,762.72",Rio de Janeiro,Não Promocional
1/3/2020,1,TipoA,Parceiro5,"R$2,348.77",Minas Gerais,Não Promocional
1/3/2020,5,TipoB,Parceiro4,"R$2,857.13",Minas Gerais,Não Promocional
1/3/2020,2,TipoA,Parceiro1,R$583.51,São Paulo,Não Promocional
1/3/2020,4,TipoA,Parceiro1,"R$2,478.26",Distrito Federal,Não Promocional
1/3/2020,3,TipoB,Parceiro2,"R$1,915.39",Distrito Federal,Não Promocional
1/3/2020,4,TipoB,Parceiro5,"R$2,618.00",Rio Grande do Sul,Não Promocional
1/3/2020,5,TipoA,Parceiro3,"R$3,276.74",São Paulo,Não Promocional
1/3/2020,1,TipoB,Parceiro4,"R$2,064.72",Distrito Federal,Não Promocional
1/3/2020,15,TipoB,Parceiro5,R$199.67,Distrito Federal,Não Promocional
1/3/2020,16,TipoB,Parceiro5,R$732.57,São Paulo,Não Promocional
1/3/2020,16,TipoB,Parceiro1,"R$3,405.80",São Paulo,Não Promocional
1/3/2020,16,TipoA,Parceiro6,"R$1,640.74",Pará,Não Promocional
